Service Area,Request Type Category,Request Type,Description,Authenticated,"Select Action (Link, Embed, Custom)",Link/Embed - Redirect URL,Embed/Custom - Class Name,Tags Config File
Computing & Technology,Administration and Business,myUMBC,"Get help with issues related to myUMBC, such as profile sharing, alerts, and myUMBC groups.",Y,Link,https://rtforms.umbc.edu/rt_authenticated/doit/DoIT-support.php?auto=myUMBC,N/A,myumbcTags
Computing & Technology,Administration and Business,PeopleSoft,"Get help with UMBC's Peoplesoft system for HR, Finance, and Student Administration.",Y,Link,https://rtforms.umbc.edu/rt_authenticated/doit/DoIT-support.php?auto=PeopleSoft,N/A,peoplesoftTags
Computing & Technology,Administration and Business,Request Tracker (RT),"Get help with issues related to using UMBC's Request Tracker (RT) system, or request a new RT form.",Y,Link,https://rtforms.umbc.edu/rt_authenticated/doit/DoIT-support.php?auto=Request%20Tracker%20%28RT%29,N/A,rtTags
Computing & Technology,Administration and Business,Salesforce,"Get help with Salesforce, the CRM used to support recruitment, admissions, and student success.  ",Y,Link,https://rtforms.umbc.edu/rt_authenticated/doit/DoIT-support.php?auto=Salesforce-Support,N/A,salesforceTags
Computing & Technology,Administration and Business,REX,"Get help with issues related to REX, UMBC's data warehouse used for analysis and reporting.",Y,Link,https://rtforms.umbc.edu/rt_authenticated/doit/DoIT-support.php?auto=REX,N/A,rexTags
Computing & Technology,Communication and Collaboration,Email & Calendar,"Get help with issues related to Google Calendar, GMail, or UMBC WebMail.",Y,Link,https://rtforms.umbc.edu/rt_authenticated/doit/DoIT-support.php?auto=Email%20%26%20Calendar,N/A,emailcalendarTags
Computing & Technology,Communication and Collaboration,List/Group Request,Request a new Google Groups shared group email.,Y,Link,https://rtforms.umbc.edu/rt_authenticated/doit/DoIT-support.php?auto=List%20Group%20Request,N/A,listgroupTags
Computing & Technology,Communication and Collaboration,myUMBC,"Get help with issues related to myUMBC, such as profile sharing, alerts, and myUMBC groups.",Y,Link,https://rtforms.umbc.edu/rt_authenticated/doit/DoIT-support.php?auto=myUMBC,N/A,myumbcTags
Computing & Technology,Communication and Collaboration,Webex,Get help with issues related to Webex or Webex Meetings,Y,Link,https://rtforms.umbc.edu/rt_authenticated/doit/DoIT-support.php?auto=Webex,N/A,webexTags
Computing & Technology,Tech and Connectivity Issues,Audio Visual Services,"Get help with audio visual services and classroom technology, including classroom, lecture hall, and conference room systems. AV Services also provides new AV system consult, design, and installation. AV supports wireless presentation devices like Kramer VIA and Solstice, and Webex Room Kits. Support of classes in progress - Call 410-455-2461
Fall/Spring Hours: Mon-Thur 8am-9:30pm, Fri 8am-5pm",Y,Link,https://rtforms.umbc.edu/rt_authenticated/doit/DoIT-support.php?auto=AV%20Services,N/A,avTags
Computing & Technology,Tech and Connectivity Issues,Cable TV,Get help with accessing cable TV in your residence hall or elsewhere on campus.,Y,Link,https://rtforms.umbc.edu/rt_authenticated/doit/DoIT-support.php?auto=Cable%20TV,N/A,cabletvTags
Computing & Technology,Tech and Connectivity Issues,Computer Issue,"Get help with computer-related issues such as software installation and updates, active directory access, or the virtual desktop environment.",Y,Link,https://rtforms.umbc.edu/rt_authenticated/doit/DoIT-support.php?auto=Computer%20Issue,N/A,computerTags
Computing & Technology,Tech and Connectivity Issues,Network,Get help with on-campus network issues or the GlobalProtect VPN network.,Y,Link,https://rtforms.umbc.edu/rt_authenticated/doit/DoIT-support.php?auto=Network,N/A,networkTags
Computing & Technology,Tech and Connectivity Issues,Phone,Get help with issues related to the campus phone systems and voicemail.,Y,Link,https://rtforms.umbc.edu/rt_authenticated/doit/DoIT-support.php?auto=Phone,N/A,phoneTags
Computing & Technology,Tech and Connectivity Issues,Video Production,"The New Media Studio serves as UMBC’s central hub for video production on campus. For over 25 years, UMBC’s television production facility has served institutional production needs while providing a rich academic resource for students in a number of disciplines.Video field production services are also provided by The New Media Studio. We are equipped for multicamera and HD shooting and can create broadcast-quality productions in a wide range of distribution formats.",Y,Link,https://rtforms.umbc.edu/rt_authenticated/doit/DoIT-support.php?auto=Video%20%26%20Multimedia,N/A,videomultimediaTags
Computing & Technology,Research,Research Computing,Get help with issues related to UMBC's High Performance Computing Facility (HPCF).,Y,Link,https://rtforms.umbc.edu/rt_authenticated/doit/DoIT-support.php?auto=Research%20Computing,N/A,researchcomputingTags
Computing & Technology,Security,IT Security,"Get help with IT security issues including phishing, device security, two-factor authentication, information classification, or other suspicious account-related activity.",Y,Link,https://rtforms.umbc.edu/rt_authenticated/doit/DoIT-support.php?auto=Security%20Issue,N/A,securityTags
Computing & Technology,Security,Swipe Access/Lenel,Lenel powers the swipe and access control needs of the university. Get help with any alarm and security swipe related access issue here. ,Y,Custom,N/A,swipeModule,swipeTags
Computing & Technology,Security,Surveillance and Cameras,"Get help with anything related to surveillance cameras, installation, or Ocularis software issues. ",Y,Custom,N/A,surveillanceModule,surveillanceTags
Computing & Technology,Teaching and Learning,Accessibility & Captioning Support,"Improving the accessibility of your course content will not only help ensure students with different abilities can access your materials, but it will also improve the learning experience for students who use mobile devices as well as those who want to engage with the material in a different way. Get help with accessibility technology using this form. ",Y,Link,https://rtforms.umbc.edu/rt_authenticated/doit/DoIT-support.php?auto=Online%20Learning,N/A,accessibilityTags
Computing & Technology,Teaching and Learning,Audience Polling,"Poll Everywhere is a web-based audience response system that lets speakers embed live activities directly into their presentations. Using a variety of activity types, instructors can turn a series of slides into an effective, interactive experience. Get to know students, gauge their knowledge of a specific topic, and capture their feedback at scale.",Y,Link,https://rtforms.umbc.edu/rt_authenticated/doit/DoIT-support.php?auto=Audience%20Response%20System%20%28ARS%29%20%26%20Polling,N/A,audiencepollingTags
Computing & Technology,Teaching and Learning,Audio Visual Services,"Get help with audio visual services and classroom technology, including classroom, lecture hall, and conference room systems. AV Services also provides new AV system consult, design, and installation. AV supports wireless presentation devices like Kramer VIA and Solstice, and Webex Room Kits. Support of classes in progress - Call 410-455-2461
Fall/Spring Hours: Mon-Thur 8am-9:30pm, Fri 8am-5pm",Y,Link,https://rtforms.umbc.edu/rt_authenticated/doit/DoIT-support.php?auto=AV%20Services,N/A,avTags
Computing & Technology,Teaching and Learning,Badges / Microcredentials,"Get help with receiving or sharing a badge, microcredential, or other digital credential; issue a badge to an earner; or request a new microcredential to be added to UMBC's portfolio.",Y,Link,https://badges.umbc.edu/request/,N/A,badgesTags
Computing & Technology,Teaching and Learning,Blackboard,"Get help related to UMBC's Blackboard service such as locating your course, submitting assignments, or setting up a course.",Y,Link,https://rtforms.umbc.edu/rt_authenticated/doit/DoIT-support.php?auto=Blackboard,N/A,blackboardTags
Computing & Technology,Teaching and Learning,Online Learning,"Get help with issues related to clickers, Class Collaborate, Panopto, VoiceThread, and more.",Y,Link,https://rtforms.umbc.edu/rt_authenticated/doit/DoIT-support.php?auto=Online%20Learning,N/A,onlinelearningTags
Computing & Technology,Teaching and Learning,Video Production,"The New Media Studio serves as UMBC’s central hub for video production on campus. For over 25 years, UMBC’s television production facility has served institutional production needs while providing a rich academic resource for students in a number of disciplines.Video field production services are also provided by The New Media Studio. We are equipped for multicamera and HD shooting and can create broadcast-quality productions in a wide range of distribution formats.",Y,Link,https://rtforms.umbc.edu/rt_authenticated/doit/DoIT-support.php?auto=Video%20%26%20Multimedia,N/A,videomultimediaTags
Computing & Technology,Teaching and Learning,Video & Lecture Capture,Panopto is a lecture-capture/screencasting software that allows for easy recording and sharing of course lectures and presentations in a video format. Recordings in Panopto are viewable on most web browsers and mobile devices.,Y,Link,https://rtforms.umbc.edu/rt_authenticated/doit/DoIT-support.php?auto=Video%20Captioning%20and%20Transcription%20Services,N/A,videocaptioningtrasncriptionTag
Computing & Technology,Web Development,FAQ's,"Find Help is a collection of UMBC's most Frequently Asked Questions (FAQs). The FAQs contain how-to videos and documentation for a host of digital tools that are currently in use on campus.  In addition, it serves as a searchable repository of use-case scenarios and first-hand experiences constructed by UMBC faculty, students, and staff who have worked to integrate digital technologies and methods into their teaching and research. As such, members of the UMBC community are encouraged to contribute freely. Faculty, staff, and students are invited to contribute to existing articles or to begin a new article.",Y,Link,https://rtforms.umbc.edu/rt_authenticated/doit/DoIT-support.php?auto=FAQs,N/A,faqsTags
Computing & Technology,Web Development,myUMBC,"Get help with issues related to myUMBC, such as profile sharing, alerts, and myUMBC groups.",Y,Link,https://rtforms.umbc.edu/rt_authenticated/doit/DoIT-support.php?auto=myUMBC,N/A,myumbcTags
Computing & Technology,Web Development,Web Development,Get help with issues related to sites.umbc.edu (Wordpress) sites or Confluence spaces.,Y,Link,https://rtforms.umbc.edu/rt_authenticated/doit/DoIT-support.php?auto=Web%20Development,N/A,webdevelopmentTags
Computing & Technology,Other,General Support,"If none of the above categories describe your issue, choose this option.  UMBC's Student Support Team will review your request and direct your ticket to the correct support group.",Y,Custom,N/A,genSupportModule,genSupportTags
